BookID,Book-Title,Instock,Year-Of-Publication,Publisher_ID
34591,"""Man Of Means (Silhouette Desire, No.1429)""",261,2002,14943
34592,"""A Very Scary Witch Story""",481,1992,14131
34593,"""The Photograph""",245,2003,14583
34594,"""Teach Me Your Ways (International Inductive Study)""",84,1994,14810
34595,"""Quiz Me (Hippo Puzzles)""",400,1990,12108
34596,"""Lion Family Animal Series""",342,0,12109
34597,"""Song of Wovoka: A novel""",145,1992,12110
34598,"""Smoke from This Altar""",483,1990,15014
34599,"""Plan of Attack : A Novel (Brown, Dale)""",247,2004,12455
34600,"""Adventures of Huckleberry Finn With Reader's Guide (Amsco Literature Program Series Grade 7 12, R 120 ALP)""",345,1972,14962
34601,"""The Complete Sports Dictionary""",253,1993,14619
34602,"""Goosebumps Boxed Set, Books 9-12: Welcome to Camp Nightmare, The Ghost Next Door, The Haunted Mask, and Be Careful What You Wish For""",278,1994,12557
34603,"""FOR KICKS""",355,1975,14110
34604,"""The Angry Tide: Poldark Saga No. 7""",401,1979,14212
34605,"""The WRITING OF FICTION""",37,1997,12118
34606,"""The dream tree""",449,1974,12122
34607,"""The muffin muncher""",420,1974,12122
34608,"""In search of the saveopotomas""",393,1974,12122
34609,"""The gnome from Nome""",213,1974,12122
34610,"""Squeakers (Serendipity)""",450,1985,13918
34611,"""Poppyseed (Serendipity Series)""",195,1989,13918
34612,"""Bunnys Busy Day""",487,1984,14432
34613,"""The Magic School Bus: Butterfly and the Bog Beast : A Book About Butterfly Camouflage (Magic School Bus)""",262,1996,12557
34614,"""Loch: A Novel""",39,1994,14970
34615,"""My Rollerblades (Away We Go)""",368,2001,14673
34616,"""I Saw Him First""",326,1989,13572
34617,"""Marketing Without Advertising (2nd Ed.)""",97,1998,12130
34618,"""The Hand of Power (Fear Street Sagas, No 16)""",366,1999,14916
34619,"""Thus Spake Zarathustra (Dover Thrift Editions)""",46,1999,13829
34620,"""Enchanted Forest (Playmobil PlayStickers)""",181,1999,13077
