PublisherID,Publisher_Name,Country
12104,"""Silhouette""","""Brazil"""
12105,"""Cartwheel Books""","""Russia"""
12106,"""Viking Books""","""Italy"""
12107,"""Harvest House Publishers""","""India"""
12108,"""Scholastic Ltd""","""Germany"""
12109,"""Madison Books/order Nbn""","""Russia"""
12110,"""TOR""","""India"""
12111,"""Bantam""","""Russia"""
12112,"""William Morrow""","""Spain"""
12113,"""Amsco School Pubns Inc""","""Spain"""
12114,"""Scholastic Paperbacks (Mm)""","""Turkey"""
12115,"""Scholastic""","""North Korea"""
12116,"""Pocket""","""Italy"""
12117,"""Ballantine Books""","""United Kingdom"""
12118,"""Scribner Book Company""","""North Korea"""
12119,"""available from Creative Education]""","""Iran"""
12120,"""available from Creative Education]""","""Italy"""
12121,"""available from Creative Education]""","""Turkey"""
12122,"""available from Creative Education]""","""Brazil"""
12123,"""Price Stern Sloan Pub (J)""","""Iran"""
12124,"""Price Stern Sloan Pub (J)""","""Russia"""
12125,"""Price Stern Sloan Pub""","""Germany"""
12126,"""Scholastic""","""Germany"""
12127,"""HarperCollins Publishers""","""United Kingdom"""
12128,"""Paradise Press""","""Italy"""
12129,"""Laurel-Leaf Books""","""Australia"""
12130,"""Nolo Press""","""France"""
12131,"""Random House Childrens Books""","""United Status"""
12132,"""Dover Publications""","""United Kingdom"""
12133,"""Reader's Digest""","""United Status"""
12134,"""W Publishing Group""","""Spain"""
12135,"""Ballantine Books""","""China"""
12136,"""Simon &amp; Schuster""","""India"""
12137,"""Random House Books for Young Readers""","""United Kingdom"""
12138,"""Gulliver Books""","""Australia"""
12139,"""Gulliver Books""","""France"""
12140,"""Portland House""","""Germany"""
12141,"""Penguin Books""","""Turkey"""
12142,"""Oxford University Press""","""Germany"""
12143,"""Liturgical Press""","""Spain"""
12144,"""Liturgical Press""","""Iran"""
12145,"""Scholastic Paperbacks""","""United Status"""
12146,"""Scholastic""","""France"""
12147,"""Scholastic""","""Iran"""
12148,"""Shelter Publications""","""Japan"""
12149,"""Pan Books - Macmillan UK""","""Italy"""
12150,"""Grosset &amp; Dunlap""","""United Kingdom"""
12151,"""Children's Classics""","""Germany"""
12152,"""Everymans Library""","""North Korea"""
12153,"""Random House Childrens Pub""","""Turkey"""
12154,"""Scholastic""","""Russia"""
12155,"""Scholastic Paperbacks (T)""","""United Status"""
12156,"""Skylark Books""","""Russia"""
12157,"""Penguin Putnam~childrens Hc""","""Russia"""
12158,"""Scholastic""","""Japan"""
12159,"""Scholastic""","""Turkey"""
12160,"""Scholastic Paperbacks""","""Germany"""
12161,"""Apple""","""Russia"""
12162,"""Scholastic Paperbacks (Mm)""","""France"""
12163,"""Scholastic""","""Brazil"""
12164,"""Scholastic""","""Australia"""
12165,"""Scholastic""","""United Status"""
12166,"""Scholastic""","""Spain"""
12167,"""Apple""","""United Kingdom"""
12168,"""Apple (Scholastic)""","""United Status"""
12169,"""Random House Children's Books""","""Brazil"""
12170,"""Aladdin""","""Spain"""
12171,"""Hyperion Books for Children""","""Japan"""
12172,"""Price Stern Sloan""","""Japan"""
12173,"""Harlequin""","""China"""
12174,"""Scholastic Paperbacks (Mm)""","""Iran"""
12175,"""Scholastic Paperbacks""","""India"""
12176,"""Harlequin""","""United Status"""
12177,"""Bantam Books""","""Brazil"""
12178,"""Bantam Books""","""Russia"""
12179,"""Warner Books""","""China"""
12180,"""Pinnacle Books, Inc""","""Turkey"""
12181,"""Fawcett Books""","""Germany"""
12182,"""Houghton Mifflin School""","""Australia"""
12183,"""Time Warner Audio Major""","""United Kingdom"""
12184,"""HarperCollins""","""North Korea"""
12185,"""Bantam Books (Mm)""","""Japan"""
12186,"""Harpercollins""","""United Kingdom"""
12187,"""Wordsworth Editions Ltd""","""China"""
12188,"""Minerva""","""Spain"""
12189,"""Wizards of the Coast""","""Iran"""
12190,"""Penguin USA""","""Turkey"""
12191,"""Bantam Dell Pub Group""","""Iran"""
12192,"""William Morrow &amp; Company""","""Italy"""
12193,"""Henry Holt &amp; Company""","""North Korea"""
12194,"""Thomas Nelson""","""Japan"""
12195,"""Pocket""","""Iran"""
12196,"""HarperCollins""","""Italy"""
12197,"""HarperCollins""","""Japan"""
12198,"""Heyne""","""Russia"""
12199,"""Kr�?¼ger, Frankfurt""","""China"""
12200,"""Fischer (Tb.), Frankfurt""","""Iran"""
12201,"""Santillana USA Pub Co Inc""","""Italy"""
12202,"""Scribner""","""Japan"""
12203,"""Judy Piatkus Publishers Ltd""","""United Kingdom"""
12204,"""Pub Group West""","""Spain"""
12205,"""Dodd Mead""","""Japan"""
12206,"""Harvest House Publishers""","""North Korea"""
12207,"""Ballantine Books""","""Germany"""
12208,"""Ballantine Books""","""Iran"""
12209,"""Award Publications""","""North Korea"""
12210,"""Pub Group West""","""China"""
12211,"""Penguin Books Ltd""","""Germany"""
12212,"""St. Martin's Press""","""Russia"""
12213,"""Harlequin""","""Germany"""
12214,"""Harper Mass Market Paperbacks (Mm)""","""Russia"""
12215,"""Harlequin""","""United Kingdom"""
12216,"""Price Stern Sloan Pub (J)""","""China"""
12217,"""Goldmann""","""France"""
12218,"""Heyne""","""Spain"""
12219,"""Goldmann""","""United Status"""
12220,"""Beck""","""Germany"""
12221,"""Mariner Books""","""Turkey"""
12222,"""Simon &amp; Schuster Audio""","""China"""
12223,"""Nord-Sud Verlag""","""Iran"""
12224,"""Harpercollins Juvenile Books""","""Russia"""
12225,"""Putnam Pub Group""","""Russia"""
12226,"""Grosset &amp; Dunlap""","""Turkey"""
12227,"""Bantam Books""","""Germany"""
12228,"""Perseus Books Group""","""India"""
12229,"""HarperTrophy""","""Spain"""
12230,"""Putnam Pub Group""","""Turkey"""
12231,"""Nord-Sud Verlag""","""Australia"""
12232,"""Lubrecht &amp; Cramer Ltd""","""China"""
12233,"""Egmont Childrens Books""","""Brazil"""
12234,"""Egmont Childrens Books""","""Germany"""
12235,"""Egmont Childrens Books""","""Japan"""
12236,"""Egmont Childrens Books""","""United Status"""
12237,"""Egmont Childrens Books""","""Iran"""
12238,"""Egmont Childrens Books""","""France"""
12239,"""Egmont Childrens Books""","""Italy"""
12240,"""Egmont Childrens Books""","""Turkey"""
12241,"""Egmont Childrens Books""","""Russia"""
12242,"""Egmont Childrens Books""","""Australia"""
12243,"""Egmont Childrens Books""","""India"""
12244,"""Egmont Childrens Books""","""China"""
12245,"""Chivers North Amer""","""Russia"""
12246,"""Hodder &amp; Stoughton Childrens Division""","""United Status"""
12247,"""Hodder &amp; Stoughton Childrens Division""","""Japan"""
12248,"""Hodder &amp; Stoughton Childrens Division""","""Turkey"""
12249,"""Hodder &amp; Stoughton Childrens Division""","""Italy"""
12250,"""Hodder &amp; Stoughton Childrens Division""","""Iran"""
12251,"""Hodder &amp; Stoughton Childrens Division""","""Brazil"""
12252,"""Hodder &amp; Stoughton Childrens Division""","""Spain"""
12253,"""Hodder &amp; Stoughton Childrens Division""","""Russia"""
12254,"""Berkley Publishing Group""","""China"""
12255,"""Audio Partners""","""North Korea"""
12256,"""Carl Hanser Verlag""","""Turkey"""
12257,"""Aguilar, Altea, Taurus, Alfaguara, S.A. de C.""","""France"""
12258,"""Unknown Publisher - Being Researched""","""North Korea"""
12259,"""Scholastic Inc.""","""Russia"""
12260,"""HiddenSpring""","""India"""
12261,"""Price Stern Sloan""","""United Kingdom"""
12262,"""Price Stern Sloan""","""North Korea"""
